Warrior,Warrior,Warrior是一个英文单词，意思是战士，勇士；鼓吹战争的人。
MELION,melion,美莱恩(Melion)是新加坡Electsol在中国的总部。2009年Electso进入中国市场，围绕智能照明管理系统、卖场智能照明控制系统、智能家居控制系统三块业务全心打造一个智能电气名牌——美莱恩（melion）。Electsol始创于1994年，是自动控制系统集成商和智能电气控制设备制造商.Electsol的服务项目涵盖水处理控制照明控制油气控制交通控制工厂自动化，建筑自动化等十多个领域，积累了上千个项目经验，客户涵盖中国、澳洲、东南亚、中东、香港等11年国家和地区。Electsol研发生产的Melion系列智能照明控制产品、智能家居控制产品、智能建筑控制产品及其他智能控制产品。在香港、新加坡、澳大利亚、沙特、马来西亚、泰国、菲律宾等国家的市场得到了广泛应用，取得了巨大的成功。丰富的行业经验，优质的智能产品，一流的解决方案，确保能为国民创造智能优雅轻松的现代生活。
扬子,杨子,杨子，1975年6月18日出生于河北省保定市徐水区，北京大学MBA毕业，现为中国巨力集团副董事长兼执行总裁、中国巨力影视传媒有限公司董事长，中国故宫研究院特聘研究员，中国内地男演员、出品人、制片人。2006年杨子凭借主演的电影《青花》获得第12届北京大学生电影节最佳新人奖 ，同年正式以总裁身份进军影视文化产业。2007年出演电视剧《广府太极传奇》 。2008年客串出演的古装神话剧《王屋山下的传说》 。2010年领衔主演动作武侠喜剧《盖世英雄方世玉》 。2011年10月杨子担任出品人的电影《白蛇传说》在中国内地公映三周，票房过两亿 。2012年出演女性题材文艺片《女人如花》 。2013年出演商战悬疑情感剧《天珠的诱惑》 。2015年12月1日，故宫研究院举行“特聘研究员”聘任仪式，中国巨力集团副董事长兼执行总裁、巨力影视传媒有限公司董事长、拉萨市天珠研究所所长、中国社会责任公益形象大使杨子，因其对藏传佛教艺术文化领域的研究、传播、发展、保护方面的贡献，被聘为故宫研究院藏传佛教文物研究所特聘研究员。
白鸟,白鸟,白鸟（Mammillariaherrerae），仙人掌科乳突球属。球状，初单生后群生，通体被软白刺包被，球质很软。花直径2—3.5厘米，淡红中带点紫色，也有白色小花，果实圆形，洋红色。 
安华,安华,安华镇位于浙江省诸暨市西南部，地处诸暨、义乌、浦江三县（市）要冲，距诸暨市区20公里。是一个历史悠久、文化昌盛的古镇。
ELEFANTE,elEfANTe,西餐厅适宜商务宴请、休闲小憩、随便吃吃、情侣约会、家庭聚会、朋友聚餐
初见,初见,互联网首部原创微电影《初见》，第18届北京大学生电影节荣获最佳试验片。全国百家主流媒体联袂推荐80/90后必看影片之一，有人用一组数字讲述了这个故事：三年时间创作、三种人生、一段记忆。而当你面对一群只为承诺、梦想和纪念的80后，面对一组组忧郁的图片，面对小镇、玻璃球以及昏黄的都市，这个故事才刚刚开始....
香溪,香溪,香溪又名昭君溪，《水经注》称乡口溪，《清史稿》称县前河。位于西陵峡口长江北岸，距重庆市区572千米。相传香溪上游宝坪村乃汉元帝妃子王嫱（王昭君）出生地。宝坪村又叫明妃村。杜甫诗云：“群山万壑赴荆门，生长明妃尚有村”。香溪是一条十分美丽的小溪。它发源于神农架山区，流过石灰岩裂缝，经洞穴过滤沉淀，“水色如黛，澄清可掬”；由北向南注入长江，交汇处清浊分明，相映成趣。
无,无,无，日本动漫《火影忍者》中的人物。土之国岩隐村的第二代土影，以阴谋和政治而闻名的“智将”，拥有超越于血继限界的血继淘汰——尘遁，并将其传授给徒弟第三代土影大野木，生前与二代水影同归于尽。死后被药师兜秽土转生，被迫参加第四次忍界大战，最终宇智波鼬解开了秽土转生，灵魂升天。
凤鸣,凤鸣,凤鸣，指凤凰打鸣、吟唱。以比喻优美的乐声。见汉刘向《列仙传·萧史》：“萧史者，秦穆公时人也。善吹箫……日教弄玉作凤鸣。居数年，吹似凤声。”
摩菱,摩菱,摩菱 于2014年07月27日在中国商标网注册的商标;商品服务范围:灯;浴霸;电热水器;水管龙头;浴室装置;卫生器械和设备;盥洗盆(卫生设备部件);风扇(空气调节);电暖器;水净化设备和机器;
好乐宝,好乐宝,深圳市好乐宝家庭用品有限公司 是中国最大的工具贸易商深圳市新力科电子有限公司的全资子公司。
火山星,火山星,火山星，网络游戏赛尔号中帕诺星系第三颗行星，十分炎热。
奇爱,奇爱,奇爱是由湖北奇爱网络科技有限公司独立开发的一款移动社交类的应用！历经6个月时间开发，2014年1月18号正式上线！此应用一经推出，深受广大网友喜欢。
米悠本色,米悠本色,米悠本色(MIUCOLOR)MIU:(大写M、小写μ）是希腊第十二个字母，百万分之一的意思。旧时用于微米。无论什么个体都是世界万物中渺小的无法计算的一份子。COLOR:这里不作为形容词，n.名字作解：本质、原本的颜色。
希朗,希朗,希朗，男，生于新罗宪康王时代（875～885），是一位佛教信仰者。
ZT,ZT,论坛上常见文章标有“ZT”字样，新手不知所云，其实不过是"转帖"的拼音缩写而已
其他,其他,其他，三种用法：1、别的，其余，不分人与物。语出《国语·晋语四》：“民生安乐，谁知其他？”古汉语流行通假，形近和音同的字常通假，他、佗、它同音或形近，因为通假而不区分人称代词与物主代词。2、其余的人（此他为人称代词），只作为（其余者里面的）人称代词而区别于物主代词“其它”，这种区别是现代汉语里的现象。3、其余的男子（此他为男称代词），区别于“其她”，这种用法也有，但很少。谈物时，用“其他”是继承古代用法，用“其它”是现代汉语环境里的合逻辑用法，都可以。因为，古汉语不区分其他与其它，现代汉语里他作为人称代词而它作为物主代词了。
四叶草,四叶草,四叶草是车轴草属植物（包括三叶草属和苜蓿草）的稀有变种，也有五叶以上，最多是十八叶。在西方认为能找到四叶草是幸运的表现。四叶草会被赋予这些意义是因为其非常珍罕性。别称牛角花，植物界。五千株三叶草中只会有一株是四叶的。
Yandex,Yandex,Yandex是俄罗斯重要网络服务门户之一。据Gallup传媒，ФОМ和Комкон调查公司资料，Yandex是俄罗斯网络拥有用户最多的网站。2006年初每天访问Yandex的人数（包括外国访问者）达到四百万。Yandex目前所提供的服务包括搜索、最新新闻、地图和百科、电子信箱、电子商务、互联网广告及其他服务。Yandex在俄罗斯本地搜索引擎的市场份额已远超俄罗斯Google。
爱思唯尔,爱思唯尔,爱思唯尔（Elsevier）是世界上最大的医学与科学文献出版社之一，创办于1880年，属于RELX集团旗下，总部位于阿姆斯特丹。每年超过35万篇论文发表在爱思唯尔公司出版的2000种期刊中。核心产品包括：《柳叶刀》、《四面体》、《细胞》，教科书《格氏解剖学》，以及全世界最大的摘要和引文数据库Scopus等。
华夏联盟,华夏联盟,华夏联盟，曾用名华夏黑客联盟。始建于2006年，是一个非商业性的、自由、免费、共享的纯技术性站点。为广大网络安全技术爱好者提供交流平台，提高成员的计算机水平，提高全民的网络安全意识；发布有关网络安全、黑客方面技术文献及工具、代码。我们不参与以任何形式发起的攻击活动，我们只为学习而努力，有人说我们太痴迷于网络，唯一能够做的解释：你们是使用网络。而我们，不为使用网络而迷恋网络，只为学习钻研网络而存在。
井然,井然,井然，笔名小墨台，书法家，祖籍山东莒县，中共党员，现供职于山东临沂市兰山区南坊街道党委。
星尘,星尘,星尘是以Yamaha公司的VOCALOID4语音合成引擎为基础制作的一款首个VOCALOID4中文声库。 星尘V4声库于2016年2月20日正式发售。星尘的音源是国内唱见茶理理，形象由“November”负责初稿设计，ideolo重绘作为公式人设图。注：星尘是北京福托科技开发有限责任公司旗下角色。 
BHM,BHM,BHM策划理念于2009年，由大陆新锐策划人潘俊帆先生率先创立的，广泛地适用于品牌传播、公关活动尤其适用于大型空间展示的策划，被国内相当数量的馆类展示策划，以及顶级展览策划所采用。同时，潘俊帆先生和他的团队“一合设计”，也是这一策划理念的先行实践者。
GS,GS,GS是通信接口类型，为NSS（移动子系统）中SGSN与MSC/VLR之间的接口。Gs接口，采用7号信令承载上承载BSSAP+协议。SGSN通过GS接口和MSC配合完成对MS的移动性管理功能，包括联合的Attach/Detach、联合的路由区/位置区更新等操作。SGSN还将接收从MSC来的电路型寻呼信息，并通过PCU下发到MS。如果不提供Gs接口，则无法进行寻呼协调，网络只能工作在操作模式II或III，不利于提高系统接通率；如果不提供Gs接口，则无法进行联合位置路由取位置更新，不利于减轻系统信令负荷。 
斯洛尔,斯洛尔,斯洛尔国籍奥地利，出生年月1981年5月12日
情非得已,情非得已,《情非得已》是由张国祥作词，汤小康作曲，JamieWilson编曲，庾澄庆演唱的歌曲，收录在庾澄庆2001年06月15日发行的专辑《海啸》中。《情非得已》是庾澄庆代表作品之一，该歌曲是2001年中国台湾青春偶像剧《流星花园》主题曲。2002年，该曲获得马来西亚娱协奖国际组原创歌曲奖、马来西亚娱协奖最受欢迎原创金曲奖 。
和之道,和之道,《和之道》是2008年出版的图书，作者是徐龙。
大头人,大头人,《大头人》是发表在17k小说网的连载小说，作者是行动。
明禾吉利,明禾吉利,明禾吉利是1996年在北京成立的建材、地产开发公司。明禾吉利品牌着力于国际高端装饰建材品牌的进口代理，为中国消费者提供高品质、高品味的家居用材和装修的解决方案。十七年来，“明禾吉利”建立了与意大利IMPRONTA、ATLASCONCORDE、ABK，西班牙PAMESA、BORJA等国际顶级品牌的战略合作伙伴关系，成为这些国际顶级品牌进入中国市场首选的独家代理商。
锦语,锦语,锦语，属于壮侗语系，是贵州布依族使用的一种语言。在贵州省使用锦语的锦人，不使用布依语，属于中国未识别民族，但为了民族政策上的方便，便将这支民族划分为布依族。
班德拉斯,安东尼奥·班德拉斯,安东尼奥·班德拉斯（AntonioBanderas），1960年8月10日出生于马拉加，西班牙籍男演员、导演、编剧及制片人。1982年，出演了他第一部影片《激情迷宫》。1996年，凭《贝隆夫人》提名金球奖音乐喜剧类最佳男主角。1999年凭执导影片《疯狂阿拉巴马》提名威尼斯电影节金狮奖。2004年凭《墨西哥风暴》提名艾美奖迷你剧最佳男主角。2005年10月在好莱坞星光大道留下了属于自己的一颗星。2007年导演爱情片《夏季雨》获得柏林国际电影节欧洲院线奖。2008年，被任命为联合国消除贫困亲善大使。2014年参演《敢死队3》 。2015年，主演科幻片《地心营救》 。
