Hodo,HODO,《HODO》是一款Android平台的应用。
毕加索,巴勃罗·毕加索,巴勃罗·毕加索（1881年10月25日-1973年4月8日），西班牙画家、雕塑家，法国共产党党员。是现代艺术的创始人，西方现代派绘画的主要代表。毕加索是当代西方最有创造性和影响最深远的艺术家，是20世纪最伟大的艺术天才。毕加索的艺术生涯几乎贯穿其一生，作品风格丰富多样，后人用“毕加索永远是年轻的”的说法形容毕加索多变的艺术形式。史学上不得不把他浩繁的作品分为不同的时期——早年的“蓝色时期”、“粉红色时期”、盛年的“黑人时期”、“分析和综合立体主义时期”（又称“立体主义时期”）、后来的“超现实主义时期”等等。 他于1907年创作的《亚威农少女》是第一张被认为有立体主义倾向的作品，是一幅具有里程碑意义的著名杰作。它不仅标志着毕加索个人艺术历程中的重大转折，而且也是西方现代艺术史上的一次革命性突破，引发了立体主义运动的诞生。毕加索是位多产画家，据统计，他的作品总计近37000件，包括：油画1885幅，素描7089幅，版画20000幅，平版画6121幅。 在1999年12月法国一家报纸进行的一次民意调查中，他以40%的高票当选为20世纪最伟大的十个画家之首。
帕朗尼,帕朗尼,帕朗尼来源于欧洲英格兰时尚休闲生活理念的现代都市人，帕朗尼是一家致力于箱包的设计、生产、销售、服务为一体，定位于商务休闲潮人与绅士，精选国外上好皮料的帕朗尼是品德箱包的业内顶级制作者之一，对国际箱包时尚的把握与品德系统的完美有着深厚的经验。精致、细节、品味是帕朗尼坚持不变的价值观。帕朗尼一直秉承此理念设计所有产品，因此，注重从细节着手的帕朗尼使每一件产品都具备时尚、经典的特点。产品紧跟潮流，时尚而多变，款式丰富、工艺精湛，明显的欧式风格加上具有强烈注意力的视觉元素带有一定程度的叛逆追求.
esons,esons,esons崇尚极简主义和现代都市文化，2007年在米兰时尚创意区成立研发中心，来自米兰马兰欧尼学院（IstitutoMarangoni）和广州本土的杰出设计师经过对品牌的重新定位和整合，2010年，esons以全新的风格在广州重生，通过独特的时装诠释着都市女性的内心世界和复杂的时尚感情。
结夏,结夏,结夏是一个汉语词语，拼音是jiéxià，意思是佛教僧尼自农历四月十五日起静居寺院九十日，不出门行动。
JUST MODE,JUST MODE,JUSTMODE 属于温州番薯团电子商务有限公司2010年12月06日 申请注册的一个商标，申请地址位于温州市飞霞北路永嘉大厦1405室 。
伯希和,伯希和,
缘未央,缘未央,《缘未央》是连载于红袖添香网的小说，作者是天线宝宝520。
迹忆,迹忆,《迹忆》是在起点中文网连载的一部小说，作者是晴衣
梦芭莎,梦芭莎,梦芭莎为时尚供应链管理机构衣路集团旗下核心网络零售平台，2006年12月创立，是中国地区拥有自主品牌的垂直电商平台和时尚产品购物平台。梦芭莎拥有产品设计、品牌推广、供应链全球化、全方位采购、品牌管理、物流配送等综合能力，在美国洛杉矶、纽约，中国香港、上海、广州和北京设有多个设计及产品管理中心，覆盖男装、女装、童装、内衣及化妆品事业等多个领域。梦芭莎致力于为中国消费者提供国际化的时尚产品，环球时尚梦想成真。 
斯尔丽,斯尔丽,“斯尔丽”服饰品牌始创于1993年，品牌文化理念有其丰富的内涵，“斯尔丽”之“斯”在《尔雅。释诂》中解释为“斯，此也”，“尔”在古代汉语中指“你”。“丽”汉语繁体为“丽”从鹿，引申为：美丽，漂亮。公司秉承传统文化、融入现代文明将品牌取名“斯尔丽”，其寓意在于“斯尔丽——使你更美丽”之深刻内涵。
泰,泰,汉字泰（tài）的含义：1、平安，安定：～适（幽闲安适）。～安。～然处之。2、佳，美好：～运。否（pǐ）极～来。3、极：～西（旧指欧洲）。4、骄纵，傲慢：～侈（骄纵奢侈）。骄～。5、通：天地交～。
薇之衣,薇之衣,薇之衣作为一个时尚的淘品牌，以其款式设计新颖，风格优雅大气，做工细致考究，受到都市白领女性的青睐和传承，2012秋冬将至，薇之衣秋冬新品全面上线。予天服饰专营店是薇之衣品牌的核心经销商，进驻商城一年多以来，我们秉承“客户至上，服务优先“的宗旨，拥有近2万人的忠实客户群体。2012双十一来临之际，予天服饰专营店携手薇之衣品牌，全线放价，活动期间全场包邮、秋冬秋冬新品85折、满300元减20元，满500元减50元，感恩回馈，惊喜相伴！
锦氏,锦氏,锦氏是男士内衣内裤品牌。
vancoog,vancoog,
奈幽,奈幽,奈幽，是网络游戏《魔兽世界》中的一个玩家不可选的种族。
索伦森,索伦森,索伦森是在儿童网页游戏《赛尔号》中登场的虚拟角色，暗影圣灵系精灵，是圣灵系王者精灵谱尼的暗黑复制体，有着“暗黑魔君”的称号。首次于2013年8月16日登场于主线任务，据主线任务说索伦森来自魔域，是一只实力超强甚至超越上古魔尊库贝萨的精灵，索伦森有五个手下，分别是伊兰迪、格莱奥、诺伊尔、艾辛格、凯兮，当索伦森快要降临凡域之前，四大手下来到凡域并且以战神联盟（盖亚、雷伊等）为载体，成为其复制版，一同企图让索伦森降临凡域，暗黑战神联盟相继被击倒后，索伦森又控制了神域天王（赫尔墨斯、阿洛纳斯、阿瑞波斯、莫迪西斯），令其成为部下。（注：索伦森将在赛尔号第八季动画片中登场）2016年10月29日，起源之树任务苏醒，后来与暗联交过手。暗联不敌，从凯兮手上夺走暗君圣物，且复制出堕天神兽，并企图打开宇宙之核，吸取生命之树的力量超进化。2017年5月5日再度复苏，派出昔兰尼加与天道魂帝缔结盟约，之后利用诡计使铸魂者关系破裂，之后在混沌核心去除体内圣灵之力完成完全体。现已统治混沌星域，创立混沌教派，以重建宇宙秩序为目的向全宇宙的所有正义势力开战，现和圣灵谱尼为首组建的圣灵联军在混沌星域大战，超进化为魔君索伦森，完全体为混沌魔君索伦森。现与大暗黑天结盟，以一己之力召唤出燃魂巨兽，后陨灭。召唤出陨星议会，预计后期会亲自出手与以圣灵谱尼为首的正义势力正式宣战。
哈蒙班尼,哈蒙班尼,位于意大利伦巴第平原上的米兰Milano历史悠久，以观光、时尚、建筑闻名，作为世界时装之都，其维萨巴托大街ViaPietroCossaStreet、蒙特拿破仑大道MonteNapoleoneStreet同样负享盛名，国际指标性的名牌云集于此。而在维萨巴托大街20号，意大利著名男装品牌Hilnan&Bellne哈蒙·班尼闪耀着独特的光芒。
老人头,老人头,老人头，鞋业品牌，隶属于老人头亚太控股有限公司，法人代表：叶周松。公司是一家专业从事“老人头”牌中高档皮鞋制造与销售的企业。同时老人头也是广州老人头皮具有限公司旗下的一品牌，是集皮料开发、产品研发、图案设计、生产、销售为一体的现代化皮具经营公司。
布舍元,布舍元,
华歌尔,Wacoal,Wacoal华歌尔，是一家以内衣为主的成衣制造商。Wacoal于1949年在日本成立后发展至今，已成为生产女装全线产品的翘楚；此外，CWX运动装、童装、男装、长者服装亦不断拓展。旗下包括女内衣，睡衣，家居服，孕妇装，哺乳服，儿童服装，少女家居服等数个系列。
金貂,金貂,金貂，汉语词汇，释义为毛带黄色的紫貂。
home,home,home是英文单词，意思是抽象的家的概念；住宅；出发点等。可作名词、副词、形容词、不及物动词、及物动词用。
帕罗,帕罗,帕罗PALUOPO，是帕罗羊绒制品有限公司旗下品牌，创立于2002年，坐落在纺织业极为发达的太湖南畔—湖州。历经十一年发展，帕罗羊绒现已形成了融高端羊绒制品、精品纺纱、高端房地产开发、太阳能光伏项目等为一体的多元化集团企业。帕罗羊绒制品有限公司现有终端店铺近600家，年产值逾6亿元，厂区员工近2000人，总资产逾10亿元。
欧昵雪,欧昵雪,欧昵雪，“欧”通“讴”，意为“歌唱；歌颂”；“昵”，意为“亲爱的，亲昵的”；“雪”，代表着一种洁净的气质。欧昵雪，寄语为：为最亲近的你，铺高品质时尚道路，作赞颂之歌。
Meters Bonwe,美特斯·邦威,“美特斯·邦威”是美特斯邦威集团自主创立的本土休闲服品牌。美特斯邦威集团公司于1995年创建于中国浙江省温州市，主要研发、生产、销售美特斯·邦威品牌休闲系列服饰。品牌名称凝聚了集团创始人周成建先生永不忘却的民族品牌情节和对于服饰文化的情有独钟。在社会各界及广大消费者的关心与支持下，美特斯邦威集团迅速发展壮大。
温娜姿,温娜姿,
茜子,茜子,茜子，男，汉族，笔名黄狮威、陈谦，出生于1930年5月25日。
马聚源,马聚源,马聚源，坐落在北京前门外大栅栏商业街上。是一家久负盛名的中华老字号。它始建于（清）嘉庆二十二年（1817年）至今已有199年的历史，在清末民初时北京城曾流传着一个顺口溜“头戴马聚源，脚踩内联升，身穿八大祥，腰缠四大恒”。用以向别人炫富，可见马聚源的帽子在当时人们心目中的地位了。它生产的帽子，因用料讲究，做工精细、货真价实、品种齐全、花色繁多而著称于世。
MBSKY,蓝色天空,蓝色天空(MBSKY)，品牌创建于2000年。自品牌创立至今，MBSKY一直致力于打造中国校园休闲第一品牌，品牌消费定位18-26周岁都市校园人群，英伦校园风格从产品的细节方面得到了充分的展现。为了促进品牌的发展，打造国际化时尚校园服饰。
IK,IK,IK准适用于额定电压不超过72.5kV的电器设备外壳对外界机械碰撞的防护分级，仅适用于对外界机械碰撞防护分级有专门要求的外壳。
菲都狄都,菲都狄都,FIDOCREDO（菲都狄都）诞生在一九八五年，热爱卡通艺术的SUSANROSE（苏珊·露丝）奉广告的意思替纽约一间餐馆设计餐馆设计餐巾，当时美国青少年正流“PUNK”头，灵感一至，SUSAN便以十五条线来绘出FIDOCREDO一个线条结构简单的卡通人物。
由诗,由诗,由诗饰演斋藤千和，他的登场作品是《僵尸借贷》。
卡戎,卡戎,卡戎与冥王星组成双矮行星系统，曾被认为是冥王星的卫星，因此也叫冥卫一（2006年在布拉格召开的国际天文学联合会会议上与冥王星同时被降级成为矮行星），距冥王星约19740km，卡戎于1978年被美国天文学家詹姆斯·克里斯蒂发现，卡戎的发现使人类进一步的了解了冥王星。这颗星球的峡谷长度甚至有1000英里（1609千米），为美国科罗拉多大峡谷的4倍。 
犸凯奴,犸凯奴,犸凯奴产品设计之初就有了明确的定位，总体来说有两条主线，一条休闲线，实用于非专业类、日常的户外活动；另一条是专业线，实用于专业的户外探险。精益求精的理念贯穿始终，最终的产品雅观、舒适、适用，客户体验非常出众。
季候风,季候风,SEASONWIND季候风品牌洋溢着浓郁的欧洲时尚气息，又十分贴合中国都市女性的审美需求，它时尚而内敛，浪漫柔美，又简约干练；满足了当代白领丽人对美和时尚的追求：是忙碌严谨的工作，也是体现个人价值的快乐享受，在高档写字楼和公共场所之间，充满自信地演绎属于自己的时尚和品位。
邢氏,邢姓,邢氏宗族得姓始祖“靖渊公”为周公旦第四子，于三千多年前受封为邢侯，建邢国，都城为今河北省邢台市，邢侯之后邢国人开始以邢为姓。邢姓在我国《百家姓》中位列第195位。是当今中国姓氏排行第118位的姓氏，人口较多，约占全国汉族人口的0.1%。如今，邢姓在全国分布较广，尤以河北、河南等省为多，上述二省之邢姓约占全国汉族邢姓人口的31%。
